STU_ID,F2PS1AID,F3TZSTEM1TOT,F3TZSTEM2GPA,CREDGRAD
188102,1,12,3,0
188103,NA,46,4,0
188203,1,35,2.25,0
189203,1,32,2.25,0
189204,1,6,3.5,0
189206,0,20,3,0
189212,1,6,2.25,0
190111,0,13,2.75,0
190201,0,20,2.75,0
190202,0,34,3.5,0
190205,0,1,2.5,0
190217,0,11,3.5,0
190221,NA,1,4,0
191110,0,21,1.75,0
191111,1,34,2,0
191205,1,11,3.25,0
191210,NA,11,2.75,0
191211,0,6,2.25,0
191214,1,6,3.75,0
191216,1,11,2,0
191303,0,6,2.75,0
191308,1,17,2.75,0
191312,1,2,3.75,0
192103,0,33,3.75,0
192105,NA,7,3.75,0
192106,0,6,3,0
192108,0,29,2.25,0
192120,NA,42,2.25,0
192161,1,19,3,0
192203,0,4,3.75,0
192204,0,8,2.5,0
192205,0,10,3.5,0
192211,0,10,2,0
192214,1,35,2.5,0
193110,1,10,2.25,0
193115,1,2,3.25,0
193120,0,3,3.75,0
193125,1,19,3.5,0
193129,1,7,2.75,0
194106,1,26,3.25,0
194129,1,11,3.25,0
194214,1,42,2.5,0
195103,0,10,3.5,0
195115,1,12,3.5,0
195206,1,24,2.5,0
195207,1,44,2.5,0
195211,1,9,3,0
195225,0,31,2.75,0
195232,1,48,2.75,0
196103,1,16,2.75,0
196118,0,42,2.5,0
196207,1,36,3.75,0
196217,NA,3,3,0
196225,0,4,3.75,0
197107,1,36,2.25,0
197113,1,14,3.5,0
197117,0,9,3,0
197120,1,4,3.25,0
197215,0,33,3.75,0
197223,0,39,2.5,0
198107,1,16,2,0
198125,1,27,3,0
198201,1,25,2.5,0
198202,1,16,2.75,0
198213,1,9,3.25,0
198227,NA,25,3.5,0
199103,1,37,2.25,0
199113,0,5,3.75,0
199213,0,18,3,0
199217,1,7,2.25,0
199218,1,7,3.25,0
199226,1,38,3,0
199227,1,6,3.5,0
199230,1,5,3.25,0
199231,1,7,3,0
200112,0,17,2.25,0
200116,0,6,1.75,0
200117,0,46,1.75,0
200124,1,56,3,0
200127,1,27,2.5,0
200134,0,35,2.75,0
200202,0,5,3,0
201107,1,6,2.5,0
201109,1,15,3.5,0
201111,0,35,3.25,0
201121,0,14,2.5,0
201208,0,36,3.75,0
201215,NA,0,NA,0
202106,0,40,2,0
202215,1,11,3.5,0
203102,1,9,2.75,0
203231,1,24,3.5,0
204103,1,36,3.25,0
204111,1,21,2.75,0
204118,1,10,3,0
204210,0,9,3.75,0
204214,1,15,3,0
204215,1,12,1.5,0
205104,0,34,2.75,0
205119,1,10,3.25,0
205120,1,6,3.25,0
205122,1,11,3.75,0
206112,1,3,3.75,0
206202,1,18,3,0
206203,1,8,2.5,0
206209,1,25,3.5,0
206211,0,23,3.5,0
206213,0,33,3,0
206222,0,2,3.5,0
206229,0,2,3.5,0
206233,0,6,3,0
207104,0,2,3.5,0
207108,1,35,3.5,0
207120,0,23,2.5,0
207205,0,8,3.75,0
207214,1,10,3.5,0
207216,0,7,2.25,0
208105,1,1,3.25,0
208206,1,11,3,0
208209,1,4,2.75,0
208211,0,4,3.5,0
208213,1,9,3.25,0
208218,1,31,4,0
209106,1,3,3.25,0
209107,1,20,3.5,0
209109,0,7,2.5,0
209203,1,17,1.75,0
209210,0,5,3.5,0
209211,0,6,2.75,0
209216,1,8,3,0
209217,0,9,2.5,0
210101,0,28,2.25,0
210110,0,5,2.25,0
210114,0,6,3,0
210117,0,18,3.5,0
210118,0,25,3.5,0
210126,0,4,2,0
210207,1,28,3.5,0
210208,1,2,2.75,0
210215,0,4,2.25,0
210216,1,6,2.75,0
211107,1,10,3.5,0
211112,0,8,3,0
211121,0,44,2.75,0
211206,1,48,3.25,0
211209,NA,12,3,0
211211,0,5,2.75,0
211217,0,8,3,0
212105,0,9,3,0
212106,0,10,3,0
212107,1,7,3.5,0
212114,0,1,2.25,0
212209,0,7,3.25,0
212211,1,5,3.5,0
212227,0,31,3.25,0
213103,1,25,3.5,0
213203,0,14,3.5,0
213210,1,44,3,0
213213,1,11,3.5,0
214106,1,35,3.25,0
214124,0,16,2.75,0
214203,0,27,3,0
214211,1,7,2,0
214218,1,5,3.75,0
214223,1,2,2.25,0
215204,1,11,3.75,0
215219,0,3,2.5,0
216103,1,12,3,0
216106,1,1,3,0
216111,0,1,3.5,0
216126,1,4,3.25,0
216131,1,8,2.5,0
216202,NA,3,3,0
216216,0,17,2.5,0
217108,1,44,3.25,0
217113,1,56,3,0
217121,1,5,2.5,0
